symbol,date,1. open,2. high,3. low,4. close,5. volume
BIIB,2023-03-03,272.26,275.38,266.775,270.27,4647575
BIIB,2023-02-24,277.44,277.75,267.53,270.02,3551999
BIIB,2023-02-17,284.45,292.7499,269.25,278.38,5695717
BIIB,2023-02-10,285.08,292.42,283.785,286.3,3846574
BIIB,2023-02-03,287.44,293.47,282.52,283.63,3998485
BIIB,2023-01-27,285.97,295.8962,285.5175,290.08,4623615
BIIB,2023-01-20,287.32,291.91,280.13,285.77,4214131
BIIB,2023-01-13,280.54,289.51,269.06,288.04,6707632
BIIB,2023-01-06,276.73,292.59,265.32,279.25,7104383
BIIB,2022-12-30,279.89,279.89,272.2,276.92,2394353
BIIB,2022-12-23,284.9,288.89,276.065,279.16,4105310
BIIB,2022-12-16,285.0,294.685,279.07,284.98,7046722
BIIB,2022-12-09,299.18,299.7,285.14,285.37,6325587
BIIB,2022-12-02,296.03,311.88,288.44,298.9,10858452
BIIB,2022-11-25,304.2,307.527,300.405,305.15,3307822
BIIB,2022-11-18,300.11,305.48,295.73,302.89,6580170
BIIB,2022-11-11,281.82,292.45,281.0925,289.45,6242187
BIIB,2022-11-04,283.28,287.37,274.63,281.82,5416489
BIIB,2022-10-28,267.94,285.35,265.46,284.29,9284419
BIIB,2022-10-21,266.05,274.01,260.325,267.615,6771969
BIIB,2022-10-14,257.58,272.62,250.31,264.63,8782081
BIIB,2022-10-07,269.0,269.87,256.4756,257.89,9259331
BIIB,2022-09-30,197.44,283.44,194.63,267.0,28036273
BIIB,2022-09-23,206.88,210.18,194.45,197.78,5014303
BIIB,2022-09-16,212.1,216.17,200.745,208.26,5786799
BIIB,2022-09-09,196.06,212.92,194.42,211.84,3624258
BIIB,2022-09-02,197.19,201.71,193.65,196.03,3646053
BIIB,2022-08-26,212.25,212.82,198.53,198.59,3979032
BIIB,2022-08-19,220.99,222.5,212.46,214.09,2901427
BIIB,2022-08-12,216.79,222.82,214.29,220.99,3844734
BIIB,2022-08-05,213.9,219.07,208.55,218.2,4470287
BIIB,2022-07-29,205.99,216.69,204.175,215.06,4546536
BIIB,2022-07-22,217.57,222.2,204.67,206.25,6102152
BIIB,2022-07-15,217.56,218.56,210.26,217.01,3608114
BIIB,2022-07-08,208.98,220.785,206.775,218.8,3687444
BIIB,2022-07-01,210.32,213.88,199.87,210.63,5876513
BIIB,2022-06-24,204.22,212.71,201.97,211.93,6118530
BIIB,2022-06-17,194.17,204.26,188.535,201.74,5541005
BIIB,2022-06-10,203.52,208.4899,195.48,197.5,5047832
BIIB,2022-06-03,204.96,204.96,193.86,200.62,4784448
BIIB,2022-05-27,201.09,207.3624,196.52,206.2,4323847
BIIB,2022-05-20,197.89,203.06,191.46,199.65,4954167
BIIB,2022-05-13,191.05,200.2683,187.16,199.11,7221344
BIIB,2022-05-06,206.3,214.775,190.65,193.61,7424819
BIIB,2022-04-29,209.82,215.58,204.86,207.44,4785110
BIIB,2022-04-22,216.22,225.5,209.705,209.99,5785743
BIIB,2022-04-14,213.12,216.0,206.62,212.55,3434696
BIIB,2022-04-08,212.06,218.02,205.52,214.75,5296570
BIIB,2022-04-01,210.08,216.3599,208.23,210.65,3720069
BIIB,2022-03-25,207.7,214.1163,203.99,210.97,4361841
BIIB,2022-03-18,198.59,208.88,192.67,208.57,6950380
BIIB,2022-03-11,208.23,218.22,194.94,197.67,5908019
BIIB,2022-03-04,204.4,213.8,202.58,209.45,4959124
BIIB,2022-02-25,208.31,212.26,200.36,207.38,5119401
BIIB,2022-02-18,214.87,217.87,207.61,209.79,4515432
BIIB,2022-02-11,220.74,228.53,214.11,214.59,5248183
BIIB,2022-02-04,223.03,231.22,212.56,221.53,7922368
BIIB,2022-01-28,220.22,226.88,214.88,225.21,7615349
BIIB,2022-01-21,238.9029,238.9029,220.29,220.52,6466159
BIIB,2022-01-14,232.75,243.71,217.1,239.3,15972415
BIIB,2022-01-07,240.15,249.0,231.62,232.6,6525197
BIIB,2021-12-31,235.23,265.54,232.36,239.92,15343990
BIIB,2021-12-23,239.75,240.0,230.05,235.41,3944513
BIIB,2021-12-17,231.68,243.43,228.945,237.43,7251247
BIIB,2021-12-10,223.2,236.885,222.15,232.62,5826499
BIIB,2021-12-03,245.36,245.5,221.72,223.92,9900889
BIIB,2021-11-26,257.97,258.89,242.02,242.9,4969759
BIIB,2021-11-19,273.82,276.5,252.02,257.19,5287889
BIIB,2021-11-12,279.51,279.71,264.0,270.43,4231387
BIIB,2021-11-05,266.15,284.59,264.58,278.68,5741618
BIIB,2021-10-29,266.0,273.64,259.63,266.68,6044153
BIIB,2021-10-22,279.42,279.5,264.3518,264.8,7698553
BIIB,2021-10-15,284.65,288.77,278.57,281.19,3763346
BIIB,2021-10-08,281.44,290.76,277.41,285.83,4423798
BIIB,2021-10-01,290.55,291.5423,279.24,283.94,3910273
BIIB,2021-09-24,297.94,304.21,285.4,291.71,4827149
BIIB,2021-09-17,301.8722,306.46,294.34,300.19,5394603
